# U  mu  Z_1 Z_2 lamda_1 lamda_2 h_1 h_2 n_f_1 n_f_2 n_s_1 n_s_2 
0.78 3.3362308114028366e-06 0.9405273969270973 0.9405273969270975 0.0 0.0 -0.20580678327893373 -0.20580678327893376 0.4999999999994823 0.4999999999994823 0.4999999999999997 0.49999999999999967
0.79 3.33349480963357e-06 0.9391237227970669 0.9391237227970669 0.0 0.0 -0.20565331147318616 -0.20565331147318616 0.499999999999476 0.499999999999476 0.49999999999999994 0.49999999999999994
0.8 3.3307134491314774e-06 0.937704296530893 0.9377042965308934 0.0 0.0 -0.20549800087315723 -0.20549800087315723 0.49999999999946987 0.49999999999946987 0.49999999999999983 0.5
0.81 3.3278852954025694e-06 0.936268453866872 0.9362684538668717 0.0 0.0 -0.20533973715090548 -0.2053397371509055 0.49999999999951383 0.49999999999951383 0.4999999999999999 0.49999999999999994
0.8200000000000001 3.3250122831213495e-06 0.934817237563429 0.934817237563429 0.0 0.0 -0.20518062591783162 -0.20518062591783162 0.49999999999951705 0.49999999999951705 0.49999999999999983 0.4999999999999999
0.8300000000000001 3.322093185853923e-06 0.9333500687796222 0.9333500687796225 0.0 0.0 -0.20501970124844032 -0.20501970124844032 0.499999999999513 0.499999999999513 0.4999999999999999 0.49999999999999994
0.84 3.3191276960944855e-06 0.9318668291718558 0.9318668291718558 0.0 0.0 -0.2048568894757123 -0.2048568894757123 0.4999999999995083 0.4999999999995083 0.49999999999999994 0.49999999999999983
0.85 3.316115574695849e-06 0.9303674259380301 0.9303674259380299 0.0 0.0 -0.2046921723988247 -0.20469217239882467 0.49999999999950373 0.49999999999950373 0.4999999999999999 0.5
0.86 3.313056598442483e-06 0.9288517638704433 0.9288517638704433 0.0 0.0 -0.20452553477419674 -0.20452553477419674 0.49999999999949946 0.49999999999949946 0.4999999999999998 0.49999999999999967
0.87 3.309950556059042e-06 0.927319743525461 0.927319743525461 0.0 0.0 -0.20435696100022066 -0.2043569610002207 0.49999999999949546 0.49999999999949546 0.4999999999999999 0.4999999999999997
0.88 3.3067972502827674e-06 0.9257712610729001 0.9257712610729001 0.0 0.0 -0.2041864349003701 -0.2041864349003701 0.4999999999994917 0.4999999999994917 0.5000000000000001 0.49999999999999983
0.89 3.3035950399956884e-06 0.9242054955780149 0.9242054955780151 0.0 0.0 -0.20401282281659006 -0.20401282281659006 0.4999999999995361 0.4999999999995361 0.49999999999999967 0.4999999999999997
0.9 3.300346522035669e-06 0.922623690425361 0.922623690425361 0.0 0.0 -0.20383825804886738 -0.20383825804886735 0.4999999999995407 0.4999999999995407 0.4999999999999998 0.4999999999999998
0.91 3.2970503122269446e-06 0.9210251228708344 0.9210251228708346 0.0 0.0 -0.20366174956199043 -0.20366174956199043 0.4999999999995388 0.4999999999995388 0.4999999999999998 0.49999999999999983
0.92 3.2937062010188756e-06 0.9194096345602705 0.9194096345602703 0.0 0.0 -0.20348322129065555 -0.20348322129065555 0.4999999999995367 0.4999999999995367 0.4999999999999999 0.49999999999999994
0.93 3.2903140666207054e-06 0.917777096812491 0.917777096812491 0.0 0.0 -0.2033026505644436 -0.20330265056444358 0.4999999999995348 0.4999999999995348 0.4999999999999999 0.49999999999999994
0.9400000000000001 3.2868738116646627e-06 0.9161273783476874 0.9161273783476876 0.0 0.0 -0.2031200172712183 -0.2031200172712183 0.4999999999995332 0.4999999999995332 0.4999999999999999 0.4999999999999999
0.9500000000000001 3.2833853596409415e-06 0.9144603432770674 0.9144603432770672 0.0 0.0 -0.20293530083252068 -0.20293530083252068 0.49999999999953215 0.49999999999953215 0.49999999999999994 0.49999999999999994
