# U mu  Z double_occ lamda h n_f n_s
0.0 3.452640234449426e-06 1.0 0.2499999999999991 0.0 -0.21220323025628623 0.49999920125876873 0.49999999999999917
0.1 3.45167794794252e-06 0.9991325268117627 0.24263677831823008 0.0 -0.21211116823360776 0.5000000000740554 0.49999999999999933
0.2 3.4487189174092177e-06 0.9965301070660081 0.23527355095013996 0.0 -0.21183474181527442 0.49999999750073904 0.4999999999999992
0.30000000000000004 3.4435992240232207e-06 0.9921927402348447 0.22791032802701122 0.0 -0.21137322799269834 0.49999999424176844 0.49999999999999933
0.4 3.4360554447957105e-06 0.9861204255632932 0.22054711546144695 0.0 -0.2107254115615759 0.499999989440199 0.4999999999999992
0.5 3.425756192498628e-06 0.9783131627849933 0.21318393700552526 0.0 -0.20988957119800625 0.49999998288593445 0.49999999999999933
0.6000000000000001 3.4123403568703414e-06 0.9687709545700871 0.20582084307272544 0.0 -0.20886345977205947 0.4999999743506593 0.4999999999999993
0.7000000000000001 3.395466518527253e-06 0.957493778014558 0.19845742832635957 0.0 -0.20764419039328408 0.4999999636015487 0.49999999999999933
0.8 3.343858115960837e-06 0.9444816573314206 0.19109423442933554 0.0 -0.20622842345892306 0.49999993074984833 0.4999999999999995
0.9 3.314840749063098e-06 0.9297345890386713 0.18373109614872918 0.0 -0.20461205898318657 0.49999991228114793 0.49999999999999933
1.0 3.280852547280312e-06 0.9132525919029519 0.17636807311637606 0.0 -0.20279031990705884 0.49999989065146333 0.49999999999999944
1.1 3.242053464028332e-06 0.8950357165876238 0.1690052693036034 0.0 -0.20075765448312727 0.4999998659647098 0.49999999999999956
1.2000000000000002 3.1990173817019278e-06 0.8750835604857151 0.16164138422311997 0.0 -0.19850718349090252 0.4999998385487582 0.49999999999999956
1.3 3.0908108487450367e-06 0.8533967038694096 0.15427837449767437 0.0 -0.1960320054258564 0.49999976967423226 0.49999999999999956
1.4000000000000001 3.026766429703602e-06 0.8299750508221931 0.14691561063342148 0.0 -0.1933233200781888 0.49999972891715116 0.49999999999999956
1.5 2.958677316737114e-06 0.8048188387709692 0.13955329487388782 0.0 -0.19037126441588284 0.49999968559313074 0.49999999999999967
1.6 2.857958186436081e-06 0.7779261314227692 0.13218885887727444 0.0 -0.18716319531903497 0.49999962144765225 0.49999999999999967
1.7000000000000002 2.778820735812731e-06 0.7493000387486771 0.12482641351621748 0.0 -0.18368753359019352 0.49999957108430204 0.49999999999999983
1.8 2.6444767672685975e-06 0.7189372351869211 0.11746230263144071 0.0 -0.17992700627404334 0.499999485547275 0.4999999999999998
1.9000000000000001 2.529708126445593e-06 0.6868415626880623 0.11009998843168983 0.0 -0.1758651729620453 0.49999941250508256 0.4999999999999997
2.0 2.431962920778908e-06 0.6530084747722761 0.10273597148908505 0.0 -0.17147862318191257 0.4999993502647753 0.4999999999999997
2.1 2.2883473993120358e-06 0.6174441124821229 0.09537417097895252 0.0 -0.16674418368678112 0.4999992588641416 0.4999999999999997
2.2 2.163882834567641e-06 0.580140795486583 0.08801023436766234 0.0 -0.16162835837791287 0.49999917961873985 0.49999999999999983
2.3000000000000003 2.0190048710927603e-06 0.541102687116109 0.08064660837401298 0.0 -0.15609534119860272 0.49999908738722587 0.4999999999999998
2.4000000000000004 1.8588556049847732e-06 0.5003298360411876 0.07328324149932991 0.0 -0.15009898347144132 0.4999989854399061 0.4999999999999999
2.5 1.7021333203942154e-06 0.4578164869781043 0.06591828082668626 0.0 -0.1435795496087388 0.4999988856592214 0.4999999999999998
2.6 1.5478649251510166e-06 0.4135734588591721 0.058555308940778636 0.0 -0.1364655049184179 0.49999878745870197 0.4999999999999998
2.7 1.3871065816647172e-06 0.36758909864319944 0.051190884022022584 0.0 -0.12865462976880665 0.499998685117387 0.5
2.8000000000000003 1.2138336612105942e-06 0.31986087854830675 0.043824965480194024 0.0 -0.12001063495478032 0.499998574807439 0.5
2.9000000000000004 -6.147063480928606e-05 0.27038561146524687 0.03645461632671996 6.25e-05 -0.11033749198350433 0.4999984573725887 0.4999971042985437
3.0 -6.166360710068173e-05 0.2191536511413352 0.02908522712892206 6.25e-05 -0.09933283593489738 0.4999983345272994 0.49999772576553847
3.1 -6.497607959766277e-05 0.16611804303649783 0.02170675473706251 6.562500000000001e-05 -0.08647644448667309 0.499998215177112 0.4999982452118833
3.2 -0.0001117931115005937 0.11108273693715087 0.014293305004899576 0.00011224102037638316 -0.07070052020343058 0.4999980872050035 0.4999980533879864
3.3000000000000003 -0.0002570253007054007 0.05206922221184898 0.006594896305122578 0.0002572584747113494 -0.04833883506590043 0.4999979504768296 0.4999979703949166
3.4000000000000004 -0.0019967227675372055 3.0694779181021537e-41 2.9048453574853803e-37 0.0019967341757681036 -4.120184495704503e-25 0.4999978142224291 0.49999999999999994
3.5 -0.0019967227675372055 0.0 0.0 0.0019967341757681036 -0.0 0.4999978142224291 0.5
