# U  mu  Z_1 Z_2 lamda_1 lamda_2 h_1 h_2 n_f_1 n_f_2 n_s_1 n_s_2
0.18 3.4446978007832686e-06 0.993107255000871 0.9931072550008713 0.0 0.0 -0.21148067324082664 -0.21148067324082664 0.49999999999966077 0.49999999999966077 0.5000000000000003 0.5000000000000003
0.19 3.4438504560540183e-06 0.9924011515786402 0.9924011515786402 0.0 0.0 -0.2114058880111482 -0.2114058880111482 0.49999999999963624 0.49999999999963624 0.5000000000000002 0.5000000000000002
0.2 3.4429649154388162e-06 0.9916684917297454 0.9916684917297454 0.0 0.0 -0.21132716842353066 -0.2113271684235307 0.4999999999996446 0.4999999999996446 0.5000000000000004 0.5000000000000003
0.21 3.4420418349971837e-06 0.9909103433432581 0.9909103433432581 0.0 0.0 -0.21124661220810964 -0.21124661220810964 0.4999999999996324 0.4999999999996324 0.5000000000000003 0.5000000000000003
0.22 3.44108163699198e-06 0.9901275585197838 0.9901275585197838 0.0 0.0 -0.2111634897721817 -0.2111634897721817 0.4999999999996117 0.4999999999996117 0.5000000000000003 0.5000000000000003
0.23 3.4400846666894306e-06 0.9893209089701183 0.9893209089701183 0.0 0.0 -0.21107673058204096 -0.21107673058204096 0.4999999999996267 0.4999999999996267 0.5000000000000003 0.5000000000000002
0.24 3.4390515816401005e-06 0.9884914052480803 0.9884914052480803 0.0 0.0 -0.2109884096739832 -0.2109884096739832 0.49999999999961803 0.49999999999961803 0.5000000000000004 0.5000000000000003
0.25 3.4379827467231686e-06 0.9876397942069107 0.9876397942069105 0.0 0.0 -0.21089777561550999 -0.21089777561550999 0.49999999999960126 0.49999999999960126 0.5000000000000002 0.5000000000000003
0.26 3.436878589239483e-06 0.9867668543692159 0.9867668543692159 0.0 0.0 -0.2108048253543592 -0.2108048253543592 0.49999999999958333 0.49999999999958333 0.5000000000000002 0.5000000000000002
0.27 3.4357395386452426e-06 0.9858733437180233 0.9858733437180233 0.0 0.0 -0.2107096286886357 -0.2107096286886357 0.4999999999995658 0.4999999999995658 0.5000000000000003 0.5000000000000004
0.28 3.434565853285212e-06 0.9849598630593257 0.9849598630593257 0.0 0.0 -0.21061117269367838 -0.2106111726936784 0.4999999999995898 0.4999999999995898 0.5000000000000003 0.5000000000000004
0.29 3.4333582589559927e-06 0.9840273598047923 0.9840273598047923 0.0 0.0 -0.21051158072256518 -0.21051158072256518 0.499999999999586 0.499999999999586 0.5000000000000004 0.5000000000000004
