# U m1 m2 mu_new d_1 d_2 d_inter Z1_up_n Z1_down_n Z2_up_n Z2_down_n lamda1_up_new lamda2_up_new lamda1_down_new lamda2_down_new h1_new_up h1_new_down h2_new_up h2_new_down lamda1_0_up lamda1_0_down lamda2_0_up lamda2_0_down f1_up f1_down f2_up f2_down spin_occ_1up spin_occ_1down spin_occ_2up spin_occ_2down 
0.0 0.0006224380386161132 0.0006224380386321005 3.876329950135049e-05 0.25000287054087017 0.2500028705408689 1.0000118092340582 1.000000027058274 1.0000000135890783 1.000000027058274 1.0000000135890783 0.0004804262719262149 0.00048042627194620996 -0.0004904501067951031 -0.0004904501068108796 -0.21220375258612906 -0.2122037537381034 -0.21220375258612906 -0.2122037537381034 0.0005283219363772303 -0.0005283479764200881 0.0005283219363906122 -0.0005283479764338467 0.4996887886504145 0.5003112266890306 0.4996887886504066 0.5003112266890387 0.49971700187575246 0.5002889027238454 0.4997170018757407 0.5002889027238546
0.1 0.0009574936466318351 0.0009574931302029355 4.096987986058088e-05 0.24278338346844414 0.2427833834687907 0.9865275645934041 0.9987500905236643 0.998750066015665 0.9987500905234303 0.9987500660154417 0.0007315977326527387 0.0007315974012873695 -0.0007441453106305144 -0.0007441449798532117 -0.21207202289107463 -0.2120720251844365 -0.21207202289108626 -0.2120720251844479 0.000811701739186794 -0.0008117451161597933 0.0008117013009725128 -0.0008117446787583387 0.4995212659686738 0.5004787596153056 0.49952126622712795 0.5004787593573309 0.4995368366655091 0.5004697602225625 0.49953683686981043 0.5004697600186065
0.2 0.00969814292013449 0.009698142896199025 0.0005935614093180061 0.2357833546696424 0.23578335467075706 0.9753035702187256 0.9952397889875666 0.9952395136139816 0.9952397889904148 0.9952395136168058 0.007133397647373013 0.007133397513310615 -0.007143005258270029 -0.007143005125543466 -0.2116956766999618 -0.21169570630032206 -0.21169567670009926 -0.21169570630045745 0.008195602188416846 -0.008191239802301385 0.008195602168141409 -0.008191239782159639 0.49514963789454614 0.5048477808146806 0.4951496379065535 0.5048477808027525 0.4951584339235364 0.5048461077367605 0.4951584340097674 0.5048461076513087
0.30000000000000004 0.060919293924724394 0.06091929392471962 0.0067113272967510166 0.2282714305400675 0.2282714305400653 0.9663338069492409 0.9898351712966711 0.9898330705668957 0.9898351712966698 0.9898330705668955 0.04193208513064457 0.041932085130647834 -0.041939028727632284 -0.04193902872762797 -0.2109927317941768 -0.21099295527147208 -0.2109927317941768 -0.21099295527147208 0.051347523783722177 -0.051337832356836394 0.05134752378371818 -0.05133783235683225 0.46953749954979485 0.5304567934745192 0.4695374995497972 0.5304567934745168 0.4695392594304133 0.5304636901073935 0.4695392594304113 0.530463690107391
0.4 0.14685426314250616 0.1468542631424964 0.005196289706287762 0.2183653726060466 0.2183653726060487 0.9604484186274542 0.9832526058763028 0.9832469577306349 0.9832526058763013 0.9832469577306313 0.09568181793285765 0.09568181793285332 -0.09569201046826525 -0.09569201046826895 -0.20948200885981724 -0.20948261014897138 -0.20948200885981733 -0.20948261014897146 0.12471307603050534 -0.12470295584108174 0.12471307603049664 -0.12470295584107292 0.42657001494090296 0.5734242780834091 0.42657001494090785 0.5734242780834042 0.4265688465401978 0.573434968325923 0.4265688465402 0.573434968325925
0.5 0.2446419587671681 0.24464195876716988 0.003940755054940484 0.20539785392421323 0.20539785392421453 0.9581806776148922 0.9765253505553138 0.9765152500103743 0.9765253505553181 0.9765152500103772 0.1539506796057039 0.15395067960569797 -0.15396362261709204 -0.15396362261708982 -0.2066363453902132 -0.20663741395156937 -0.20663634539021333 -0.20663741395156937 0.21254629145564433 -0.21253511257588412 0.21254629145564669 -0.21253511257588617 0.377676167128572 0.6223181258957401 0.3776761671285711 0.622318125895741 0.377676580797886 0.622327575517001 0.37767658079788946 0.622327575516999
0.6000000000000001 0.3415060423355959 0.341506042335591 0.002867843625610088 0.19010928970852115 0.19010928970852176 0.9590709646368002 0.9705349369871157 0.9705203806102918 0.9705349369871101 0.9705203806102825 0.21191755723194872 0.21191755723194933 -0.2119320354274062 -0.21193203542741235 -0.2022453179447685 -0.20224683657258258 -0.20224531794476835 -0.20224683657258238 0.3081109891231695 -0.3080979754363106 0.3081109891231627 -0.30809797543630324 0.3292441253443581 0.670750167679954 0.32924412534436054 0.6707501676799515 0.3292513684323135 0.6707525328425235 0.32925136843231234 0.6707525328425271
0.7000000000000001 0.43188499344941295 0.4318849934494708 0.0018520019531546043 0.1735615678080044 0.17356156780800874 0.9621741917726336 0.9658449379465393 0.9658268642983483 0.9658449379465894 0.9658268642983684 0.2692913809707305 0.26929138097074334 -0.2693049558274369 -0.26930495582749214 -0.1963671246738048 -0.1963689636613689 -0.1963671246738023 -0.19636896366136816 0.4098402018804366 -0.40982440721591434 0.40984020188052195 -0.4098244072159973 0.2840546497874495 0.7159396432368624 0.2840546497874206 0.7159396432368914 0.2840760728942415 0.7159269475823944 0.28407607289423603 0.7159269475824146
0.8 0.5130300014200033 0.5130300014201772 0.0008304533050106454 0.1567549692014366 0.15675496920141851 0.9664947841527005 0.9626739868853378 0.9626536487801558 0.9626739868854336 0.9626536487802674 0.32654072997176403 0.3265407299719349 -0.32655075395998573 -0.32655075396013555 -0.18924697799873083 -0.18924897872221902 -0.18924697799872478 -0.18924897872221177 0.5171658709594735 -0.5171461494500242 0.517165870959783 -0.5171461494503349 0.24348214580215427 0.7565121472221576 0.2434821458020674 0.7565121472222446 0.2435200326848927 0.756481788900007 0.24352003268483796 0.7564817889000561
0.9 0.5840519747492605 0.5840519747492797 -0.000173974416067247 0.14044367209586806 0.14044367209587494 0.9712425197848479 0.9609842366094707 0.9609629393924344 0.9609842366095336 0.9609629393924618 0.3843400723358126 0.3843400723357933 -0.38434364216617395 -0.3843436421661927 -0.18122267126999486 -0.1812246807600426 -0.1812226712699944 -0.1812246807600427 0.6299154851892136 -0.6298904335838882 0.6299154851892749 -0.6298904335839394 0.20797115913752579 0.7920231338867864 0.20797115913751615 0.7920231338867959 0.20801986410839046 0.791980661822804 0.20801986410839912 0.7919806618228055
