# U m1 m2 mu_new Z1_up_n Z1_down_n Z2_up_n Z2_down_n lamda1_up_new lamda2_up_new lamda1_down_new lamda2_down_new h1_new_up h1_new_down h2_new_up h2_new_down lamda1_0_up lamda1_0_down lamda2_0_up lamda2_0_down f1_up f1_down f2_up f2_down spin_occ_1up spin_occ_1down spin_occ_2up spin_occ_2down 
0.0 0.0006224380386161132 0.0006224380386321005 3.876329950135049e-05 1.000000027058274 1.0000000135890783 1.000000027058274 1.0000000135890783 0.0004804262719262149 0.00048042627194620996 -0.0004904501067951031 -0.0004904501068108796 -0.21220375258612906 -0.2122037537381034 -0.21220375258612906 -0.2122037537381034 0.0005283219363772303 -0.0005283479764200881 0.0005283219363906122 -0.0005283479764338467 0.4996887886504145 0.5003112266890306 0.4996887886504066 0.5003112266890387 0.49971700187575246 0.5002889027238454 0.4997170018757407 0.5002889027238546
0.1 0.000789786505169976 0.0007897864602580129 4.0514775095271026e-05 0.99767928680192 0.9976792664171824 0.9976792868019049 0.9976792664171675 0.0006063696317319438 0.0006063696024217282 -0.0006198573664496064 -0.0006198573371881989 -0.2119678750833966 -0.2119678769012265 -0.21196787508339734 -0.2119678769012273 0.0006688366352576308 -0.0006688841836734717 0.0006688365971929543 -0.0006688841456672777 0.499605120783945 0.500394907289115 0.4996051208064182 0.5003949072666762 0.49962154094100475 0.5003851826637034 0.499621540959258 0.5003851826454806
0.2 0.00117737181830041 0.001177368690579439 4.907481433024354e-05 0.9916687821882079 0.9916687491694487 0.9916687821840107 0.991668749165305 0.0008202756032965671 0.0008202744849312522 -0.0008382315775466185 -0.0008382304616553573 -0.21132777356114943 -0.21132777709663506 -0.21132777356126092 -0.2113277770967416 0.0009910810888961819 -0.0009911036103814 0.00099107845304688 -0.0009911009804841914 0.49941132077942757 0.500588692597728 0.49941132234505575 0.5005886910356352 0.4994608891146747 0.500546821062365 0.4994608898469379 0.5005468203317217
0.30000000000000004 0.008402809695514935 0.008402807737595108 0.0004701020569714501 0.9830779684599525 0.9830776461866713 0.9830779684604091 0.9830776461872021 0.006113392896101597 0.006113391430782258 -0.00613652462604178 -0.0061365231744952104 -0.21039884683730153 -0.21039888122179454 -0.21039884683822732 -0.21039888122270958 0.007013133330019362 -0.007011209273409023 0.007013131688155483 -0.007011207647095693 0.4957980188268311 0.504200828522346 0.49579801981044896 0.5042008275480441 0.49580684145724896 0.5042018432095845 0.4958068424613064 0.5042018422149647
0.4 0.025856882024818173 0.025856881908623452 0.001930572860223635 0.9727205564642326 0.9727193251783968 0.9727205564641673 0.9727193251783376 0.018092088444896733 0.018092088363700156 -0.01811202749392162 -0.01811202741272167 -0.20926963863853285 -0.20926977049920248 -0.2092696386387165 -0.20926977049938542 0.02136598044092243 -0.021356539810873303 0.021365980344819385 -0.021356539714770605 0.4870687059546076 0.5129255879794258 0.487068706012705 0.5129255879213285 0.4870737626573646 0.5129328624221894 0.48707376271527947 0.5129328623642725
0.5 0.04993284814678234 0.0499328481421733 0.00451708513144355 0.9612202383636633 0.9612174813244616 0.9612202383636529 0.961217481324451 0.03366791513736847 0.03366791513428168 -0.0336976101001326 -0.0336976100970461 -0.20796590163742165 -0.20796619915145026 -0.20796590163743708 -0.2079661991514657 0.04083043136676694 -0.040821052375765395 0.04083043136298244 -0.040821052371981005 0.47503072243876643 0.5249635705855488 0.475030722441071 0.5249635705832443 0.4750328573752371 0.5249759592223192 0.47503285737751333 0.5249759592200431
0.6000000000000001 0.0769228905918547 0.0769228905917318 0.00940196670538112 0.9490437154414787 0.9490388647039372 0.9490437154414789 0.9490388647039357 0.05016166362587676 0.05016166362579347 -0.050203320983056084 -0.050203320982980665 -0.20651260856947531 -0.20651313538801577 -0.20651260856947598 -0.20651313538801647 0.06227522100376203 -0.062265870910280026 0.06227522100366147 -0.0622658709101796 0.4615357012162297 0.5384585918080844 0.4615357012162912 0.538458591808023 0.4615357462955034 0.5384753958469564 0.46153574629556665 0.5384753958468993
0.7000000000000001 0.1048765780554915 0.10487657805548078 0.008269501520854957 0.9365357132841267 0.9365282643281639 0.936535713284126 0.9365282643281642 0.06627998900889834 0.06627998900889175 -0.06633588326955286 -0.06633588326954562 -0.20493126957004906 -0.20493208430389365 -0.20493126957004915 -0.20493208430389373 0.08412718692209112 -0.0841178279389883 0.08412718692208228 -0.0841178279389796 0.4475588574844102 0.5524354355399017 0.4475588574844156 0.5524354355398964 0.4476169033034262 0.5523966608663275 0.44761690330343124 0.5523966608663218
0.8 0.13316029962253317 0.13316029962253428 0.0073335575080341695 0.923845883871107 0.9238353430219356 0.923845883871105 0.9238353430219333 0.08197021385647646 0.08197021385648309 -0.082042534647775 -0.08204253464778154 -0.20323681354065307 -0.20323797168263055 -0.20323681354065304 -0.2032379716826307 0.10593172209785442 -0.10592231398269579 0.10593172209785522 -0.10592231398269664 0.4334169967008894 0.5665772963234226 0.43341699670088885 0.5665772963234231 0.43341335704735084 0.5666026639154245 0.43341335704734585 0.5666026639154297
0.9 0.16153259575196527 0.1615325957519525 0.006380492568145418 0.9111782691834209 0.9111641655847326 0.9111782691834135 0.9111641655847338 0.09696429205240041 0.09696429205240689 -0.09705522601302359 -0.09705522601301293 -0.20143743231541086 -0.20143898977539879 -0.2014374323154111 -0.20143898977539887 0.1275735358244096 -0.12756403779596617 0.12757353582439854 -0.1275640377959558 0.4192308486361734 0.5807634443881386 0.4192308486361798 0.5807634443881323 0.419223999053396 0.5807944858060743 0.41922399905339097 0.5807944858060656
1.0 0.1900698318404429 0.19006983184045328 0.0053817718227561475 0.8986063424320258 0.89858820815365 0.8986063424320222 0.8985882081536475 0.111467825677453 0.11146782567746619 -0.1115792834150996 -0.1115792834151122 -0.1995334207276434 -0.19953543250036804 -0.19953342072764327 -0.19953543250036823 0.14919956625193373 -0.14918993410922024 0.14919956625194225 -0.1491899341092288 0.4049622305919346 0.5950320624323775 0.4049622305919293 0.5950320624323826 0.4049558978823228 0.5950649810707349 0.4049558978823127 0.5950649810707445
1.1 0.2191300942366325 0.2191300942366416 0.004314567369113689 0.886204276386242 0.8861815735141368 0.8862042763862368 0.8861815735141423 0.12577365330730145 0.12577365330731588 -0.1259075838858739 -0.1259075838858722 -0.1975158757863744 -0.1975184041733003 -0.19751587578637406 -0.1975184041733003 0.17120429499785828 -0.17119447662401704 0.17120429499786535 -0.1711944766240254 0.39043209939383977 0.6095621936304723 0.3904320993938352 0.6095621936304768 0.3904243373637058 0.6095988576584945 0.3904243373636943 0.609598857658493
1.2000000000000002 0.24917182304933627 0.2491718230493264 0.0031674652558359713 0.8741115988322405 0.8740837830528452 0.8741115988322384 0.8740837830528442 0.14012744256256598 0.140127442562561 -0.14028519796745392 -0.14028519796744915 -0.19536609938499838 -0.19536920787245807 -0.1953660993849986 -0.19536920787245823 0.19410650298896726 -0.1940964344937029 0.19410650298895846 -0.19409643449369432 0.37541123498748785 0.6245830580368241 0.37541123498749285 0.6245830580368192 0.3754735338167947 0.6245517822804243 0.3754735338167984 0.6245517822804204
1.3 0.2807377268651673 0.28073772686515147 0.001957586409995539 0.8622487937133579 0.8622152182358531 0.8622487937133433 0.8622152182358592 0.15516674990054674 0.15516674990055332 -0.15534920022050216 -0.15534920022048293 -0.19305473846370394 -0.19305849541476325 -0.1930547384637041 -0.19305849541476375 0.21853468900852788 -0.21852428182937664 0.2185346890085117 -0.2185242818293636 0.3596282830795724 0.6403660099447397 0.35962828307958034 0.6403660099447318 0.35961794827399074 0.6404092103994742 0.35961794827398497 0.6404092103994594
1.4000000000000001 0.31442265488650717 0.3144226548865108 0.000667809904521975 0.8509330125608389 0.8508930579160828 0.8509330125608445 0.8508930579160797 0.17107971904097655 0.17107971904097283 -0.17128671722927927 -0.1712867172292858 -0.19053773301758464 -0.19054220459233595 -0.19053773301758456 -0.19054220459233595 0.24531302936877472 -0.24530216814132016 0.24531302936877897 -0.2453021681413231 0.34278581906890243 0.6572084739554096 0.3427858190689006 0.6572084739554114 0.3427761002370622 0.657252480100279 0.34277610023706506 0.6572524801002835
