# U m1 m2 mu_new Z1_up_n Z1_down_n Z2_up_n Z2_down_n lamda1_up_new lamda2_up_new lamda1_down_new lamda2_down_new h1_new_up h1_new_down h2_new_up h2_new_down lamda1_0_up lamda1_0_down lamda2_0_up lamda2_0_down f1_up f1_down f2_up f2_down spin_occ_1up spin_occ_1down spin_occ_2up spin_occ_2down
0.0 0.0006224380386161132 0.0006224380386321005 3.876329950135049e-05 1.000000027058274 1.0000000135890783 1.000000027058274 1.0000000135890783 0.0004804262719262149 0.00048042627194620996 -0.0004904501067951031 -0.0004904501068108796 -0.21220375258612906 -0.2122037537381034 -0.21220375258612906 -0.2122037537381034 0.0005283219363772303 -0.0005283479764200881 0.0005283219363906122 -0.0005283479764338467 0.4996887886504145 0.5003112266890306 0.4996887886504066 0.5003112266890387 0.49971700187575246 0.5002889027238454 0.4997170018757407 0.5002889027238546
0.1 0.0007712860475786454 0.0007712860397536825 4.279606419392708e-05 0.9983119937367148 0.9983119766319924 0.998311993736705 0.9983119766319822 0.0005387544670355193 0.000538754465871556 -0.0005510389772932013 -0.0005510389761314914 -0.21203501850683618 -0.21203502033998395 -0.21203501850683631 -0.2120350203399841 0.0006535875927726067 -0.0006536256926226397 0.0006535875861365451 -0.0006536256859965506 0.49961436821607813 0.5003856542636568 0.49961436821999355 0.5003856542597472 0.4996611924065902 0.5003450953722881 0.4996611924073113 0.5003450953715683
0.2 0.0034838312690780304 0.0034838313395433307 9.10815968210034e-05 0.9937981268337472 0.9937980156973241 0.9937981268337203 0.9937980156972951 0.0025911007829580546 0.002591100841032995 -0.0026088724447089324 -0.0026088725023869805 -0.21154441466338214 -0.21154442607548235 -0.21154441466337082 -0.21154442607547141 0.002938864071392978 -0.0029387763880574687 0.002938864131025764 -0.002938776447310575 0.4982580583817027 0.5017418896507807 0.4982580583463575 0.5017418896859008 0.49826958646423636 0.5017384167087945 0.49826958642651464 0.5017384167462715
0.30000000000000004 0.03000777927495435 0.030007779274959845 0.001691785556961925 0.9871454905042757 0.9871443706564901 0.9871454905042757 0.9871443706564894 0.02120682271362411 0.021206822713625468 -0.021216154820870955 -0.021216154820880847 -0.21080809305618473 -0.21080821216313939 -0.2108080930561847 -0.2108082121631394 0.025167825075545155 -0.02515823659562886 0.02516782507554991 -0.025158236595633335 0.48499325687472605 0.5150010361496804 0.4849932568747232 0.5150010361496831 0.48499805372997873 0.5150056775254694 0.48499805372997756 0.515005677525476
0.4 0.08230454535126558 0.0823045453512698 0.001527471435199698 0.9790437165137749 0.9790401819325739 0.979043716513776 0.9790401819325735 0.05518855842822561 0.055188558428225745 -0.05520310762105608 -0.055203107621061634 -0.20971611559814005 -0.2097164936512179 -0.20971611559814005 -0.20971649365121783 0.0687858510668815 -0.06877618227405845 0.06878585106688513 -0.06877618227406199 0.4588448738365232 0.5411494191877888 0.4588448738365211 0.5411494191877909 0.45884524476163535 0.5411599268551166 0.45884524476163513 0.5411599268551203
0.5 0.14907512364576286 0.1490751236457597 0.00023198795403810596 0.9702944744205015 0.9702872802826108 0.9702944744204981 0.9702872802826104 0.09576257831888581 0.09576257831889175 -0.09578299103533948 -0.09578299103533858 -0.2080644512107072 -0.20806522207033326 -0.20806445121070727 -0.2080652220703333 0.12499497900947401 -0.12498497383404183 0.12499497900947103 -0.1249849738340391 0.42545958468927464 0.5745347083350375 0.42545958468927625 0.574534708335036 0.4254577334407547 0.574548686963968 0.4254577334407507 0.5745486869639678
0.6000000000000001 0.22168954268640134 0.22168954268640456 -0.0010007187945628839 0.9616353100650429 0.9616236437657734 0.9616353100650433 0.9616236437657668 0.13801263879143796 0.1380126387914378 -0.1380388218269002 -0.13803882182691546 -0.20568474393095307 -0.20568599134353974 -0.2056847439309527 -0.20568599134353985 0.18810965592916368 -0.1880989697774064 0.1881096559291663 -0.18809896977740898 0.38915237516895534 0.6108419178553567 0.3891523751689538 0.6108419178553584 0.38915094429076563 0.610856299136123 0.38915094429076486 0.6108562991361328
0.7000000000000001 0.29561885597128035 0.29561885597129256 -0.002193476713340158 0.953632812214662 0.9536163687848837 0.9536328122146566 0.953616368784877 0.1804920320808867 0.1804920320809047 -0.18052306699316956 -0.18052306699318782 -0.2024705823977763 -0.20247232845776922 -0.2024705823977764 -0.20247232845776877 0.2561944113216816 -0.2561826259464637 0.2561944113216936 -0.2561826259464748 0.35218771852651587 0.6478065744977962 0.35218771852650976 0.6478065744978023 0.3521899329055935 0.6478175735880618 0.35218993290558254 0.6478175735880736
0.8 0.36848198710706254 0.3684819871070423 -0.0032892160454233528 0.94669654014484 0.9466754767285966 0.9466965401448418 0.9466754767285993 0.22327489606625822 0.22327489606623643 -0.22330920369820484 -0.22330920369818236 -0.1983622302588522 -0.19836443915910695 -0.1983622302588528 -0.19836443915910737 0.3291733281111197 -0.32915993167741464 0.3291733281110972 -0.32915993167739205 0.31575615295862475 0.6842381400656873 0.3157561529586349 0.6842381400656772 0.3157640162714653 0.6842431925557757 0.3157640162714773 0.6842431925557634
0.9 0.43873799853646556 0.43873799853643575 -0.004322178644939715 0.9411196211944314 0.9410947473412147 0.9411196211944494 0.9410947473412367 0.26692379237107877 0.2669237923710301 -0.26695856897200765 -0.26695856897195586 -0.19334575271978582 -0.19334831046805115 -0.1933457527197873 -0.19334831046805334 0.40764608317744305 -0.4076304279334638 0.40764608317740914 -0.4076304279334324 0.28062814724392326 0.7193661457803888 0.2806281472439382 0.719366145780374 0.28064529017971396 0.7193610134688759 0.28064529017973877 0.7193610134688487
