# U  mu  Z_1 Z_2 lamda_1 lamda_2 h_1 h_2 n_f_1 n_f_2 n_s_1 n_s_2 
0.0 3.4526449230965196e-06 0.9999999600000016 0.9999999600000016 0.0 0.0 -0.21219736125788 -0.21219736125788 0.49999999995470534 0.49999999995470534 0.5000000000000004 0.5000000000000003
0.01 3.4526246174697196e-06 0.9999816525451319 0.9999816525451319 0.0 0.0 -0.21219736125788 -0.21219736125788 0.49999999995470534 0.49999999995470534 0.49999999999999967 0.4999999999999996
0.02 3.4525644193154626e-06 0.9999274054809287 0.9999274054809287 0.0 0.0 -0.21219736125788 -0.21219736125788 0.49999999995470534 0.49999999995470534 0.49999999999999994 0.4999999999999999
0.03 3.4524653458902426e-06 0.9998382128164708 0.9998382128164706 0.0 0.0 -0.21219623151134756 -0.21219623151134756 0.4999999999592295 0.4999999999592295 0.5 0.49999999999999983
0.04 3.4523283441072376e-06 0.9997150145896458 0.9997150145896458 0.0 0.0 -0.21218299596720314 -0.21218299596720314 0.4999999999823897 0.4999999999823897 0.49999999999999956 0.49999999999999956
0.05 3.4521542837056767e-06 0.9995587448381615 0.9995587448381613 0.0 0.0 -0.21216670978684318 -0.21216670978684318 0.49999999999310285 0.49999999999310285 0.4999999999999996 0.4999999999999997
0.06 3.4519439666362835e-06 0.9993703019486189 0.9993703019486191 0.0 0.0 -0.2121469760292692 -0.2121469760292692 0.49999999999750355 0.49999999999750355 0.49999999999999967 0.4999999999999997
0.07 3.45169812655448e-06 0.9991505487547229 0.9991505487547229 0.0 0.0 -0.21212265948617987 -0.21212265948617984 0.49999999999919326 0.49999999999919326 0.4999999999999998 0.4999999999999998
0.08 3.451417466356551e-06 0.9989003522284592 0.9989003522284592 0.0 0.0 -0.21209673519229452 -0.21209673519229452 0.49999999999965694 0.49999999999965694 0.4999999999999998 0.4999999999999996
0.09 3.451102603483802e-06 0.9986205160781516 0.9986205160781514 0.0 0.0 -0.21206696958387042 -0.21206696958387045 0.4999999999997815 0.4999999999997815 0.4999999999999996 0.4999999999999997
0.1 3.450754122485301e-06 0.9983118384168291 0.9983118384168291 0.0 0.0 -0.21203386978895614 -0.21203386978895614 0.499999999999809 0.499999999999809 0.4999999999999998 0.4999999999999999
0.11 3.4503725822278767e-06 0.997975111891972 0.997975111891972 0.0 0.0 -0.21199872091144056 -0.21199872091144056 0.4999999999997976 0.4999999999997976 0.49999999999999967 0.49999999999999956
