# U m mu  Z_A Z_B lamda_A_new lamda_B_new h_new_A h_new_B lamda_0_A  lamda_0_B  n_f_A n_f_B n_s_A n_s_B
3.5 0.9563744345781501 -7.826104835068167e-05 0.984498629429622 0.984498629429622 -1.6282302367355854 1.6290081462945056 -0.07168464363327234 -0.07168464363327234 -3.187595916500316 3.188554352811295 0.9781843638012311 0.021809929223081052 0.9781144329679761 0.021881393028172935
3.4 0.9528840121633776 -0.0003065400758672902 0.9768674997359713 0.9768674997359713 -1.5516623970669512 1.5524797845595542 -0.0740789346677762 -0.0740789346677762 -3.0325954437116427 3.0333401406611356 0.9764391525938448 0.023555140430467223 0.9765098606891685 0.02348443069919709
3.3 0.949795624116637 -0.000534819103385387 0.9759570018761464 0.9759570018761464 -1.4992722997426078 1.500015613187579 -0.07631492616518701 -0.07631492616518701 -2.925729038248347 2.9264051963926896 0.9748949585704745 0.02509933445383751 0.9749656623781079 0.02502864638611424
3.1999999999999997 0.9463898031042657 -0.0007630981309008193 0.9749565122334698 0.9749565122334698 -1.4466904750012937 1.447363645783355 -0.07868663165497942 -0.07868663165497942 -2.818377636485474 2.818989985644962 0.9731920480642888 0.02680224496002315 0.9732627331196024 0.02673160390609597
3.0999999999999996 0.9426212674212964 -0.0010142050611700152 0.9738565450431611 0.9738565450431611 -1.3939021546591202 1.3945095746382499 -0.08120635711827288 -0.08120635711827288 -2.7105121018188765 2.7110647563474886 0.9713077802228042 0.02868651280150783 0.9713784674066497 0.028615901732157722
2.9999999999999996 0.9384387247749232 -0.0012653119914392112 0.9726506375476884 0.9726506375476884 -1.340939519082889 1.3414854944698658 -0.08388647007123187 -0.08388647007123187 -2.6021665131072953 2.6026634725793123 0.9692165088996176 0.030777784124694403 0.9692872134846275 0.030707191841875592
2.8999999999999995 0.9337800651271747 -0.001516418921709073 0.9713293136037424 0.9713293136037424 -1.2878017194732616 1.2882904003850393 -0.08674151625249384 -0.08674151625249384 -2.493332628071708 2.4937777852524365 0.9668871790757434 0.03310711394856869 0.9669579618666672 0.03303648482165511
2.7999999999999994 0.9285717003895255 -0.001767525851977714 0.9698893817427585 0.9698893817427585 -1.2344805732292596 1.2349159545322197 -0.08978724880349902 -0.08978724880349902 -2.384014541069363 2.384411681441717 0.9642829967069187 0.035711296317393205 0.9643537140830369 0.035640780491043855
2.6999999999999993 0.9227244080050356 -0.002041460684997898 0.968315698231327 0.968315698231327 -1.180960960301109 1.1813468604378945 -0.0930416296196422 -0.0930416296196422 -2.2741793042949032 2.274532098432367 0.9613593505146738 0.03863494250963821 0.96143005397554 0.03856449712912663
2.599999999999999 0.9161380819355114 -0.0023153955180206355 0.9666049438162416 0.9666049438162416 -1.1273333879815877 1.1276735628667303 -0.09652154750917072 -0.09652154750917072 -2.163947818550614 2.164259819353815 0.9580661874799117 0.04192810554440033 0.9581369383350852 0.04185767875276214
2.499999999999999 0.9086868346368085 -0.002589330351041819 0.9647547924350236 0.9647547924350236 -1.0735834591197697 1.073881478647008 -0.10024738908209854 -0.10024738908209854 -2.0533294083312725 2.05360405317583 0.9543405638305603 0.045653729193751734 0.9544111809520504 0.045583514635189615
2.399999999999999 0.9002196662948241 -0.002886093086814101 0.9627538848176358 0.9627538848176358 -1.0197265480326418 1.0199858077884885 -0.1042406171764374 -0.1042406171764374 -1.9423496945631709 1.9425903007274041 0.950106979659568 0.049887313364744 0.9501776179763084 0.04981717260305285
2.299999999999999 0.8905630173976165 -0.003182855822587383 0.9606051486100078 0.9606051486100078 -0.9658632199068234 0.9660870319530667 -0.10852055994877544 -0.10852055994877544 -1.831171281653966 1.8313810281427947 0.9452786552109642 0.05471563781334782 0.9453496661385771 0.054645238542958774
2.199999999999999 0.879501837208844 -0.0035024464611114305 0.9583338632479227 0.9583338632479227 -0.9120137233841272 0.9122051700020244 -0.11310913605994914 -0.11310913605994914 -1.7199137677250749 1.720095735986593 0.939748065116578 0.06024622790773399 0.9398185638116174 0.060176481984906494
2.0999999999999988 0.8667882495934572 -0.0038220370996368104 0.9559413303737209 0.9559413303737209 -0.8583079110793947 0.8584699946100175 -0.11802299891732994 -0.11802299891732994 -1.608779255061516 1.6089363540558783 0.9333912713088847 0.06660302171542738 0.9334616386757901 0.06653357981124619
1.9999999999999987 0.8521205852527135 -0.004164455640916287 0.9534572323139506 0.9534572323139506 -0.804824420008091 0.8049599387421505 -0.12327880992188665 -0.12327880992188665 -1.4979714062361758 1.49810641004136 0.9260574391385128 0.0739368538857993 0.9261282195687608 0.07386721386662709
1.8999999999999986 0.8351711659534108 -0.004506874182192322 0.9509533374133964 0.9509533374133964 -0.751790998008302 0.7519026648918542 -0.12888031581391962 -0.12888031581391962 -1.3879500226956831 1.3880655419980417 0.9175827294888614 0.08241156353545065 0.9176536613554496 0.082342037250827
1.7999999999999985 0.8155293839818152 -0.0048721206262204554 0.9484866311963535 0.9484866311963535 -0.6992620321465075 0.6993523214378274 -0.1348287747287314 -0.1348287747287314 -1.278941228419204 1.2790397023039493 0.9077618385030636 0.09223245452124842 0.907833349687685 0.09216268124305577
1.6999999999999984 0.7927766298455781 -0.005237367070247256 0.9462077152289557 0.9462077152289557 -0.6474814723629059 0.6475527687291308 -0.1411030059313451 -0.1411030059313451 -1.171547507074177 1.1716311789421017 0.896385461434945 0.10360883158936697 0.8964531536399876 0.1035432884734307
1.5999999999999983 0.766435272927072 -0.00562544141702782 0.944188776390023 0.944188776390023 -0.596658541086656 0.5967130886337355 -0.14766955437515003 -0.14766955437515003 -1.0661944648976511 1.0662653557126487 0.883214782975692 0.11677951004861999 0.8832814764800605 0.11671547059069576
1.4999999999999982 0.736048960276033 -0.00601351576380894 0.9426231792654509 0.9426231792654509 -0.5470207101262817 0.5470606575273205 -0.15446257917277503 -0.15446257917277503 -0.9635187651708433 0.9635786772713247 0.8680216266501725 0.1319726663741395 0.8680878322960508 0.13190972381931027
1.3999999999999981 0.7011743114737263 -0.006401590110587951 0.9417124038666129 0.9417124038666129 -0.49876306429943057 0.4987904548688324 -0.16139837153171716 -0.16139837153171716 -0.8641016512387755 0.8641521645486094 0.8505843022490192 0.14940999077529285 0.8506491565208438 0.1493491190742257
1.299999999999998 0.6612936605708609 -0.006880976068375243 0.9416745864186398 0.9416745864186398 -0.4517222125493172 0.4517389552434863 -0.16837921509052325 -0.16837921509052325 -0.7680889434297116 0.7681313984411275 0.8306439767975865 0.16935031622672556 0.830692311047269 0.16930679557957412
1.199999999999998 0.6162365939568842 -0.007337534123410771 0.9425634627962278 0.9425634627962278 -0.4063100560634973 0.4063181546732598 -0.17525085564788667 -0.17525085564788667 -0.676149931278314 0.6761854682024182 0.8081154434905982 0.19187884953371392 0.8081734031174108 0.19182660361560183
1.0999999999999979 0.565653053454168 -0.0077940921784465204 0.9446591342642688 0.9446591342642688 -0.3620878374039676 0.3620891913079191 -0.1818878552291359 -0.1818878552291359 -0.5881771669360518 0.5882067558777592 0.7828236732392401 0.217170619785072 0.7828756674361074 0.21712526607332328
0.9999999999999978 0.5095345070671047 -0.008250650233483158 0.9480124330362443 0.9480124330362443 -0.31894745800402957 0.3189439254755855 -0.1881344221864267 -0.1881344221864267 -0.504251049812023 0.504275556046798 0.7547644000457083 0.24522989297860362 0.7548042227749518 0.24519758955580917
0.8999999999999977 0.447956885555369 -0.008684380385767698 0.9525604879043773 0.9525604879043773 -0.2765066802066691 0.2764999587615961 -0.19383759001711745 -0.19383759001711745 -0.4240738580700169 0.4240940838737889 0.7239755892898405 0.2760187037344715 0.7240205165569287 0.27598205244213597
0.7999999999999976 0.38103691262199335 -0.009095282635294698 0.9582317497193112 0.9582317497193112 -0.23408855269661838 0.23408020472494714 -0.19887087136583811 -0.19887087136583811 -0.34709871595002517 0.3471154152277721 0.6905156028231527 0.30947869020115937 0.6905698690735249 0.3094332378986223
0.6999999999999975 0.30901429522182655 -0.009597496495831869 0.9648531272644307 0.9648531272644307 -0.19083284727276914 0.19082399310488324 -0.2031235353293241 -0.2031235353293241 -0.2726496025351139 0.27266352411558514 0.6545042941230693 0.34548999890124277 0.6545387421743065 0.34546468023761184
0.5999999999999974 0.23352472788313572 -0.010122538259125357 0.9720838234010986 0.9720838234010986 -0.1466498712627134 0.14664157632514233 -0.20648592602521576 -0.20648592602521576 -0.20112976247300085 0.20114164275510973 0.6167595104537239 0.3832347825705882 0.6167643178902412 0.38323908962970893
0.49999999999999734 0.1570018056333619 -0.0106932358279186 0.9794376157622426 0.9794376157622426 -0.10152625222911943 0.10151928633462788 -0.20892091803676183 -0.20892091803676183 -0.13312421701935742 0.13313476288965695 0.578498049328837 0.42149624369547506 0.5784859593605712 0.42151709497472395
0.39999999999999725 0.08527300544227073 -0.011241689833272448 0.986345878147455 0.986345878147455 -0.05754475154895429 0.05753948201710993 -0.2104766741132899 -0.2104766741132899 -0.07181742869083514 0.07182728423258981 0.5426336492332914 0.45736064379102065 0.5426389330069121 0.4573635237922251
0.29999999999999716 0.029285657496708806 -0.0031423448474718167 0.9922062838545027 0.9922062838545027 -0.02087057209117925 0.020871691986027 -0.21134955172277445 -0.21134955172277445 -0.024676515790472954 0.024688571760838492 0.5146392616172978 0.485353604120589 0.5146646205873309 0.4853348327200119
0.19999999999999707 0.003009242253726452 7.68405633858325e-05 0.9965306259360293 0.9965306259360293 0.002204908422247249 -0.0022172343098282874 -0.21183508539868182 -0.21183508539868182 0.0025456673838717015 -0.0025452293066285706 0.49849524943091117 0.5015044916846376 0.49853774599301215 0.5014687067567594
0.09999999999999698 0.0011002402475123185 4.5848001067522005e-05 0.9991327667961688 0.9991327667961688 0.0007689839278739771 -0.0007802922673090104 -0.21211167890358912 -0.21211167890358912 0.0009330869991925747 -0.0009330959563412295 0.4994498825200019 0.5005501227675142 0.49951914027411704 0.5004871398062346
